basis,distance,physical_error_probability,logical_error_rate,fit_coefficient
X basis,3,0.0001,2e-05,703.360669703707
X basis,3,0.00013894954943731373,0.0,703.360669703707
X basis,3,0.00019306977288832496,3e-05,703.360669703707
X basis,3,0.00026826957952797245,8e-05,703.360669703707
X basis,3,0.0003727593720314938,0.00019,703.360669703707
X basis,3,0.0005179474679231213,0.00022,703.360669703707
X basis,3,0.0007196856730011522,0.00046,703.360669703707
X basis,3,0.001,0.00094,703.360669703707
X basis,3,0.0013894954943731374,0.00159,703.360669703707
X basis,3,0.0019306977288832496,0.00289,703.360669703707
X basis,3,0.0026826957952797246,0.005887527121327626,703.360669703707
X basis,3,0.003727593720314938,0.010959376955105387,703.360669703707
X basis,3,0.005179474679231213,0.020523964747072316,703.360669703707
X basis,3,0.007196856730011514,0.03805668016194332,703.360669703707
X basis,3,0.01,0.06880795591990324,703.360669703707
X basis,5,0.0001,0.0,96548.30144945013
X basis,5,0.00013894954943731373,0.0,96548.30144945013
X basis,5,0.00019306977288832496,0.0,96548.30144945013
X basis,5,0.00026826957952797245,1e-05,96548.30144945013
X basis,5,0.0003727593720314938,0.0,96548.30144945013
X basis,5,0.0005179474679231213,1e-05,96548.30144945013
X basis,5,0.0007196856730011522,4e-05,96548.30144945013
X basis,5,0.001,0.0002,96548.30144945013
X basis,5,0.0013894954943731374,0.00049,96548.30144945013
X basis,5,0.0019306977288832496,0.00101,96548.30144945013
X basis,5,0.0026826957952797246,0.00279,96548.30144945013
X basis,5,0.003727593720314938,0.006691102965678107,96548.30144945013
X basis,5,0.005179474679231213,0.019325165230162717,96548.30144945013
X basis,5,0.007196856730011514,0.03930806036069194,96548.30144945013
X basis,5,0.01,0.09438160578527721,96548.30144945013
X basis,7,0.0001,0.0,13239356.748382825
X basis,7,0.00013894954943731373,0.0,13239356.748382825
X basis,7,0.00019306977288832496,0.0,13239356.748382825
X basis,7,0.00026826957952797245,0.0,13239356.748382825
X basis,7,0.0003727593720314938,0.0,13239356.748382825
X basis,7,0.0005179474679231213,0.0,13239356.748382825
X basis,7,0.0007196856730011522,0.0,13239356.748382825
X basis,7,0.001,1e-05,13239356.748382825
X basis,7,0.0013894954943731374,8e-05,13239356.748382825
X basis,7,0.0019306977288832496,0.00025,13239356.748382825
X basis,7,0.0026826957952797246,0.0011,13239356.748382825
X basis,7,0.003727593720314938,0.0039,13239356.748382825
X basis,7,0.005179474679231213,0.014011574779165398,13239356.748382825
X basis,7,0.007196856730011514,0.04481234289676692,13239356.748382825
X basis,7,0.01,0.12954909590295263,13239356.748382825
Z basis,3,0.0001,1e-05,610.3458706430744
Z basis,3,0.00013894954943731373,1e-05,610.3458706430744
Z basis,3,0.00019306977288832496,3e-05,610.3458706430744
Z basis,3,0.00026826957952797245,6e-05,610.3458706430744
Z basis,3,0.0003727593720314938,0.00014,610.3458706430744
Z basis,3,0.0005179474679231213,0.00023,610.3458706430744
Z basis,3,0.0007196856730011522,0.0004,610.3458706430744
Z basis,3,0.001,0.00079,610.3458706430744
Z basis,3,0.0013894954943731374,0.00147,610.3458706430744
Z basis,3,0.0019306977288832496,0.00251,610.3458706430744
Z basis,3,0.0026826957952797246,0.005256269305271975,610.3458706430744
Z basis,3,0.003727593720314938,0.010109219211480901,610.3458706430744
Z basis,3,0.005179474679231213,0.018194190752480213,610.3458706430744
Z basis,3,0.007196856730011514,0.03377470734983688,610.3458706430744
Z basis,3,0.01,0.059121087575086946,610.3458706430744
Z basis,5,0.0001,0.0,89687.72134317145
Z basis,5,0.00013894954943731373,0.0,89687.72134317145
Z basis,5,0.00019306977288832496,0.0,89687.72134317145
Z basis,5,0.00026826957952797245,0.0,89687.72134317145
Z basis,5,0.0003727593720314938,1e-05,89687.72134317145
Z basis,5,0.0005179474679231213,1e-05,89687.72134317145
Z basis,5,0.0007196856730011522,6e-05,89687.72134317145
Z basis,5,0.001,0.00016,89687.72134317145
Z basis,5,0.0013894954943731374,0.00032,89687.72134317145
Z basis,5,0.0019306977288832496,0.00086,89687.72134317145
Z basis,5,0.0026826957952797246,0.0024,89687.72134317145
Z basis,5,0.003727593720314938,0.00593535214444273,89687.72134317145
Z basis,5,0.005179474679231213,0.01642306327235182,89687.72134317145
Z basis,5,0.007196856730011514,0.038645564961354434,89687.72134317145
Z basis,5,0.01,0.08711235779959482,89687.72134317145
Z basis,7,0.0001,0.0,10966765.47843708
Z basis,7,0.00013894954943731373,0.0,10966765.47843708
Z basis,7,0.00019306977288832496,0.0,10966765.47843708
Z basis,7,0.00026826957952797245,0.0,10966765.47843708
Z basis,7,0.0003727593720314938,0.0,10966765.47843708
Z basis,7,0.0005179474679231213,0.0,10966765.47843708
Z basis,7,0.0007196856730011522,0.0,10966765.47843708
Z basis,7,0.001,2e-05,10966765.47843708
Z basis,7,0.0013894954943731374,0.00013,10966765.47843708
Z basis,7,0.0019306977288832496,0.00035,10966765.47843708
Z basis,7,0.0026826957952797246,0.00088,10966765.47843708
Z basis,7,0.003727593720314938,0.00344,10966765.47843708
Z basis,7,0.005179474679231213,0.011974347445393663,10966765.47843708
Z basis,7,0.007196856730011514,0.037511123280169756,10966765.47843708
Z basis,7,0.01,0.10717596884850733,10966765.47843708
